PartID,PartName,Description,UnitPriceVND,StockQuantity,ReorderThreshold,PrimarySupplierID,BackupSupplierID
1,Engine Oil,Engine replacement part - Engine Oil,350000,263,26,17,9
2,Oil Filter,Engine replacement part - Oil Filter,120000,259,26,17,16
3,Air Filter,Engine replacement part - Air Filter,180000,175,21,18,17
4,Fuel Filter,Engine replacement part - Fuel Filter,240000,271,29,17,22
5,Brake Pad,Brake replacement part - Brake Pad,650000,258,32,24,12
6,Brake Disc,Brake replacement part - Brake Disc,1500000,63,13,19,16
7,Brake Fluid,Brake replacement part - Brake Fluid,180000,64,24,10,21
8,Battery,Electrical replacement part - Battery,2200000,233,12,20,10
9,Alternator,Electrical replacement part - Alternator,3200000,47,39,21,20
10,Starter Motor,Electrical replacement part - Starter Motor,2600000,110,35,13,20
11,Fuse,Electrical replacement part - Fuse,30000,201,13,8,22
12,Radiator,Cooling replacement part - Radiator,2800000,124,40,1,19
13,Coolant,Cooling replacement part - Coolant,200000,284,40,5,17
14,Water Pump,Cooling replacement part - Water Pump,1200000,286,37,13,14
15,Thermostat,Cooling replacement part - Thermostat,450000,288,19,14,19
16,Tyre,Tyre replacement part - Tyre,2500000,30,17,5,1
17,Wheel Bearing,Tyre replacement part - Wheel Bearing,900000,189,11,6,14
18,Valve,Tyre replacement part - Valve,60000,45,38,21,8
