SupplierID,SupplierName,ContactInfo,Address,DeliveryLeadTimeDays
1,Toyota Vietnam,0921721175,Ha Noi,3
2,Hyundai Truck & Bus,0904025016,Ha Noi,3
3,Ford Vietnam,0854428714,Ha Noi,3
4,THACO Auto,0701930086,Quang Nam,3
5,Mercedes-Benz Vietnam,0980419026,HCMC,3
6,Isuzu Vietnam,0785702202,HCMC,3
7,Hino Motors Vietnam,0353481367,HCMC,3
8,VinFast,0936617139,Hai Phong,3
9,Volvo Trucks Vietnam,0926237088,HCMC,3
10,Scania Vietnam,0792298363,HCMC,3
11,Denso Vietnam,0924225258,Ha Noi,3
12,Bosch Vietnam,0793914781,HCMC,3
13,Bridgestone Vietnam,0377403959,Hung Yen,3
14,Michelin Vietnam,0326187732,Binh Duong,3
15,Castrol Vietnam,0374982519,HCMC,3
16,Shell Vietnam,0922661757,HCMC,3
17,TotalEnergies Vietnam,0849541398,HCMC,3
18,Mitsubishi Fuso,0390890407,HCMC,3
19,Cummins Vietnam,0971691569,Dong Nai,3
20,ZF Vietnam,0857673638,Dong Nai,3
21,Carrier Refrigeration,0821235220,HCMC,3
22,Thermo King Vietnam,0920003524,HCMC,3
23,Daikin Vietnam,0851954781,Ha Noi,3
24,Valeo Vietnam,0356348066,Hai Duong,3
25,Goodyear Vietnam,0334382144,Dong Nai,3
